Строка поиска	Перевод
Фичи загружены	Features loaded
Работаю по сценарию	Running scenario
Шаг	Step
не выполнен	failed
Сеанс должен быть запущен с ключом TESTMANAGER.	The session must be started with the TESTMANAGER key.
TestClient НЕ подключен.	TestClient is NOT connected.
Технические данные	Technical details
ИмяФайла	FileName
ИмяПроцедуры	ProcedureName
ВерсияVB	VanessaVersion
ВерсияПлатформы	PlatformVersion
РежимСовместимостиTestManager	TestManagerCompatibilityMode
Не использовать	Not use
Выполнение сценариев закончено. Ошибок не было.	The execution of the scenarios is over. Tthere were no errors.
Выполнение сценариев закончено. БЫЛИ ОШИБКИ!	The execution of the scenarios is over. THERE ARE ERRORS!
Порт %1 занят или находится вне указанного диапазона, порт подключения изменен на %2	Port %1 is busy or out of specified range, the connection port is changed to %2
TestClient подключен на %1 порту.	TestClient is connected to the %1 port.
Построение дерева.	Building tree.
Уже открытый TestClient подключен на %1 порту.	An already open TestClient is connected to the %1 port.
Получить изменения формы	Get changes of the form
Получить состояние всей формы	Get the state of the whole form
